DMU,标准化GTFP,效率等级,GTFP排名,百分位排名,传统TFP,简单绿色-GTFP,绿色TFP_对数,综合GTFP,资本效率,劳动效率,能源效率,总投入,总污染
2511_2023,0.7803390629165465,B级,6521,33.77,0.00015860496094456493,2.760376005016896e-07,-3.891833733,-1.945916729,3.5586743597258708,84.25127437462318,0.00015861232865763486,6179473006,573.5773786999995
2511_2024,0.7744569768581469,C级,7764,40.2,0.00012832604043094264,3.406352034690691e-07,-3.968805077,-1.984402368,2.700819214879626,70.56167856462582,0.00012833237137267514,6351461842,375.72571450000163
2512_2019,0.708109734100663,E级,18587,96.25,0.0001280900925853128,6.749122032378808e-08,-4.83700567,-2.418502801,5.893309686958541,19.313546129113977,0.0001280937262160576,1782080074,1896.8778557999963
2512_2020,0.7044909710601942,E级,18733,97,0.00010615834712852114,7.99087588813433e-08,-4.884359769,-2.442179845,5.491103829710765,86.6055906633871,0.0001061605296357143,1992220660,1327.4945050000024
2512_2021,0.7238846041638319,E级,17459,90.4,0.00011317762236298026,1.6133676566531535e-07,-4.630580367,-2.315290103,6.728397388380633,93.69144280936067,0.00011317966286452254,1980161153,700.4992636000001
2512_2022,0.7207366273489346,E级,17766,91.99,8.849908990928247e-05,2.5108929875499837e-07,-4.671773972,-2.335886861,4.1406601399478715,73.27363027754107,8.85010883499509e-05,1968886832,351.4606197999983
2512_2023,0.7290048104095368,E级,16853,87.27,9.684773891092498e-05,2.82949472483961e-07,-4.563578949,-2.281789333,1.7595544558043237,81.76965617463277,9.685318452530021e-05,2030569070,341.27926991000106
2512_2024,0.7528233559322187,D级,12889,66.74,0.00014013316281886982,4.972712778106006e-07,-4.251896552,-2.125948027,16.645785486257765,80.31529231088616,0.000140134587052245,1378964047,280.80425648999847
2513_2019,0.741212043524505,D级,15084,78.11,0.00020003204407069636,2.394831556827272e-07,-4.403838577,-2.201919169,1.1859549894571935,62.29543118012167,0.00020006643119010821,752096830.3,834.2656087000023
2513_2021,0.7668242514021958,C级,9655,49.99,0.00018321202975780433,8.573261171369919e-07,-4.068685235,-2.034342189,1.5527107097339734,84.34183089952766,0.00018323404848226386,788120816.5799999,212.70167765000213
2513_2022,0.7570862250196775,D级,12016,62.22,0.00017033517417436615,6.172774035013791e-07,-4.196113998,-2.098056691,1.6932581077485485,89.99003667496325,0.00017035263343345846,848468319,274.94590861000063
2513_2023,0.7566509963828497,D级,12093,62.62,0.00011968277600758906,8.04609408344839e-07,-4.201809461,-2.100904328,1.7724563864380376,121.114631919324,0.00011969097625859556,1455203886,147.74642861999797
2513_2024,0.7341685151041538,E级,16174,83.75,8.561292386347611e-05,4.5816257352067913e-07,-4.496008375,-2.248003958,1.0316738952953497,126.90311740975731,8.562008676409463e-05,2094474722,185.86145218000084
2514_2019,0.7324096995944288,E级,16413,84.99,0.00016975219165114123,3.6929488604402817e-07,-4.519023639,-2.259511635,1.756283788524101,61.04160673800289,0.00016976907265902594,487247771.7,458.66569729999753
2514_2020,0.7248377298459471,E级,17333,89.75,0.0001354478562609268,5.985085339383775e-07,-4.618108478,-2.30905394,0.9484056159076031,40.42503127242737,0.00013546765715832963,365905298.96999997,225.30898008999924
2514_2021,0.7851337955860682,B级,5600,29,0.0002586448935677972,2.73806085662504e-06,-3.829093707,-1.914545484,1.1330426217470162,30.740077625967487,0.00025870612635047586,245307453.6,93.46279906000156
2514_2022,0.7464524838655705,D级,14175,73.4,0.0001398674985326498,1.066625254084046e-06,-4.335264515,-2.167631724,1.354011456984197,33.72912643490959,0.00013988252826611472,489053347.8,130.13087067000234
2514_2023,0.7358284568561781,E级,15958,82.63,8.155632046896516e-05,1.6224065562398947e-06,-4.474288019,-2.237143199,1.2666265246774835,27.551121788423753,8.156181355848488e-05,712118501.6,49.26873198999796
2514_2024,0.7360473856075174,E级,15915,82.41,8.954642362770678e-05,2.499892188060167e-06,-4.471424061,-2.23571078,0.9815768232370102,15.974086937707293,8.955509550259072e-05,375151831.5,34.820114089999215
2515_2019,0.7192573767578619,E级,17900,92.69,8.02658977861891e-05,1.6593046728239786e-06,-4.691132429,-2.345565385,0.9999988996191965,13.581215156776967,8.027281538062763e-05,350757417.5,47.373212510001714
2515_2020,0.7241075093955259,E级,17432,90.27,7.72765206813476e-05,8.547991550245831e-07,-4.627664188,-2.313831667,2.685575899115203,36.13309869277539,7.72789096288748e-05,919265921.9599999,89.40313171000025
2515_2021,0.7885595354616611,B级,5027,26.03,0.0002016694916955587,5.556300703283884e-06,-3.784268283,-1.892131363,1.938960738168722,103.23964793875442,0.00020169086335869866,250843234,35.29564015000156
2515_2022,0.8377472935324065,A级,930,4.82,0.000513224754920821,1.555192167810087e-05,-3.140621476,-1.570302962,1.8583159525666642,97.06422425762086,0.0005133692503019101,86619778.73,32.00072876000132
2515_2023,0.7892408022229342,B级,4913,25.44,0.00017673336480843307,1.1005820034997347e-05,-3.775358872,-1.887673933,1.3396653539070131,72.95356423254081,0.0001767571114304228,177499209.9,15.058173153000345
2515_2024,0.8060832491415579,A级,2929,15.17,0.00025202363617241383,1.304029406903448e-05,-3.554965508,-1.777476234,1.5498037251343293,69.05256307227545,0.0002520655461585748,136448219.42999998,18.32652998400107
2516_2019,0.7586138593338824,D级,11672,60.44,0.0002769293858963241,3.1691144372553347e-07,-4.176123516,-2.088061599,1.0332169672560028,311.68180574251164,0.0002770038763558677,568373455.1700001,872.8383888999983
2516_2020,0.7710708249557042,C级,8608,44.57,0.0003210561690078113,4.73289960360203e-07,-4.013115417,-2.006557472,1.0605377944231813,269.9207594202408,0.0003211537737523287,464081595.6,677.3498387999987
2516_2021,0.7920097971110206,B级,4495,23.28,0.0002932821759892084,1.1506034846802248e-06,-3.73911475,-1.8695568,1.3188809542393025,47.259912914723124,0.0002933492290852203,587682841,253.89421803000093
2516_2022,0.7854852596284273,B级,5534,28.66,0.00028956001233995763,8.506514362521035e-07,-3.824492663,-1.912245906,1.4476477349510575,48.97142734010295,0.0002896196548393765,616117219.9,339.39795799999877
2516_2023,0.8026121941562724,A级,3244,16.8,0.00028257317046152146,1.8349861069944893e-06,-3.600375527,-1.800186846,1.5737008489782414,49.627487727021226,0.0002826255278388492,638228640.4,152.99199424000003
2516_2024,0.8149988954942373,A级,2240,11.6,0.0003878174496396305,1.7749754351699507e-06,-3.438286668,-1.719142447,1.9388032261560744,55.93978656358155,0.00038789772975466696,541053889.1,217.4917273999998
2518_2019,0.7822836477379614,B级,6134,31.76,0.00020570637900711437,7.976732276786759e-07,-3.866387978,-1.93319359,3.7755347373247634,70.35505450134582,0.0002057181888502624,1268882635,256.883017390001
2518_2020,0.768037813302006,C级,9364,48.49,0.00015804958050261365,6.56086773554135e-07,-4.052804713,-2.026402029,3.613167267705612,66.6084355787719,0.00015805686937187628,1532777749,239.8973732899974
2518_2021,0.7735366958295767,C级,7973,41.29,0.00015893578004487848,7.146438254211297e-07,-3.980847984,-1.990423635,2.9083531326740295,68.10484883494979,0.00015894483699607515,1765442477,221.3985911600003
2518_2022,0.7793544732732803,B级,6703,34.71,0.0001620104430766096,5.724798948887819e-07,-3.904718086,-1.952358757,4.3849519494534075,103.59438658191841,0.00016201668246967234,2716299924,281.9976117299985
2518_2023,0.7740032019360161,C级,7864,40.72,0.00014097337323646798,4.414547176745784e-07,-3.974743145,-1.987371352,4.964338343508278,129.60627700738323,0.000140977529947351,3858583590,318.3382413999991
2518_2024,0.7876000431590965,B级,5181,26.83,0.00016424464763316405,8.522416799061676e-07,-3.796819217,-1.898409182,3.901396508330492,102.28672921790208,0.00016425182620425234,2532185048,191.72074041999997
2519_2019,0.7308619114501895,E级,16613,86.02,0.00016486402947893535,2.473088201738975e-07,-4.539277425,-2.269638589,1.5763586631560498,27.74704988441915,0.0001648822534250672,728077180.8100001,665.6322258000022
2519_2020,0.7565900560109567,D级,12106,62.69,0.00024491510348378926,3.5933068711437505e-07,-4.202606463,-2.101303052,1.9702691761876765,34.82398750872215,0.000244947274453503,611266190.5,680.5869389000006
2519_2021,0.7735729643353476,C级,7963,41.23,0.0002078528411859683,9.856414485588771e-07,-3.980373656,-1.990186335,2.105613632568248,69.9794899312343,0.00020787397861507547,685476516.4,209.88078345999912
2519_2022,0.7600586659490726,C级,11314,58.59,0.00018009650125410529,7.193972293966593e-07,-4.157217595,-2.078608438,2.0841519882455986,67.59477797833588,0.00018011254508880437,727755806.4,249.3436121899989
2519_2023,0.7664614566373246,C级,9766,50.57,0.00014399774299837014,1.488704123001575e-06,-4.073433294,-2.036715903,1.6163903239858115,54.75131261523264,0.0001440109511109911,783640444.3,95.72690536000009
