DMU,投入_资本,投入_劳动,投入_能源,产出_营收,非期望_SO2,非期望_废水,非期望_烟尘
157_2023,0.001,0.001,0.001,47074853106.11,2609.299534120873,4707485.310611,94149.70621222
157_2024,0.001,0.001,0.001,45478184506.84,2394.6491474904437,4547818.450684,90956.36901368
301_2019,0.001,0.001,0.001,24887768959.59,5356.733272083836,2488776.895959,49775.53791918
301_2020,0.001,0.001,0.001,22777003535.78,4418.044402755044,2277700.353578,45554.00707156
301_2021,0.001,0.001,0.001,51722179697.92,2986.6016996825033,5172217.969792,103444.35939584
301_2022,0.001,0.001,0.001,63822315669.45,3876.471288178499,6382231.566945,127644.6313389
301_2023,0.001,0.001,0.001,140439738058.63,3883.955978797992,14043973.805863,280879.47611726
301_2024,0.001,0.001,0.001,137674557166.85,4382.433179083325,13767455.716685,275349.11433370004
333_2019,0.001,0.001,0.001,278216017000.0,9502.851481581514,27821601.7,556432.034
333_2020,0.001,0.001,0.001,284221249000.0,7828.120811864385,28422124.9,568442.498
333_2021,0.001,0.001,0.001,341233208000.0,9021.867998938566,34123320.8,682466.416
333_2022,0.001,0.001,0.001,343917531000.0,6423.528649265771,34391753.1,687835.062
333_2023,0.001,0.001,0.001,372037280000.0,5752.058990814627,37203728.0,744074.56
333_2024,0.001,0.001,0.001,407149600000.0,5481.607184910651,40714960.0,814299.2000000001
338_2019,0.001,0.001,0.001,174360892512.86,27726.789572925576,17436089.251286,348721.78502572
338_2020,0.001,0.001,0.001,197491092926.42,23790.768895912097,19749109.292642,394982.18585284
338_2021,0.001,0.001,0.001,203547703297.37,14188.091654119578,20354770.329737,407095.40659474
338_2022,0.001,0.001,0.001,175157535625.82,10513.882376435975,17515753.562582,350315.07125164004
338_2023,0.001,0.001,0.001,213958475631.13,8940.84642712834,21395847.563113,427916.95126226003
338_2024,0.001,0.001,0.001,215690504589.82,9421.328714545763,21569050.458982002,431381.00917964004
400_2019,0.001,0.001,0.001,10156082886.47,2566.5886940059363,1015608.288647,20312.16577294
400_2020,0.001,0.001,0.001,11191201681.05,2811.991053703514,1119120.168105,22382.403362099998
400_2021,0.001,0.001,0.001,11990697379.23,1277.3136637554855,1199069.737923,23981.39475846
400_2022,0.001,0.001,0.001,14917449398.19,1635.9672598442642,1491744.939819,29834.89879638
400_2023,0.001,0.001,0.001,17060896563.04,1487.742658705573,1706089.6563040002,34121.79312608
400_2024,0.001,0.001,0.001,17089133346.79,1679.9191959173713,1708913.334679,34178.26669358
401_2019,0.001,0.001,0.001,34507031964.78,17935.90175047548,3450703.196478,69014.06392956
401_2020,0.001,0.001,0.001,35479631343.47,15775.886742520413,3547963.134347,70959.26268694001
401_2021,0.001,0.001,0.001,36337568644.17,7320.988631356532,3633756.8644169997,72675.13728834
401_2022,0.001,0.001,0.001,34543644146.26,7642.967875943697,3454364.414626,69087.28829252
401_2023,0.001,0.001,0.001,28235146548.2,4381.289459728259,2823514.6548200003,56470.293096400004
401_2024,0.001,0.001,0.001,25286646897.45,4033.5347833307997,2528664.689745,50573.293794900004
403_2019,0.001,0.001,0.001,915656568.55,333.3639088986488,91565.656855,1831.3131371
403_2020,0.001,0.001,0.001,1049937691.4,272.7657432859276,104993.76914,2099.8753828
403_2021,0.001,0.001,0.001,1971734315.85,713.6050167722492,197173.43158499998,3943.4686316999996
403_2022,0.001,0.001,0.001,2405188425.37,1049.3625661147294,240518.842537,4810.37685074
403_2023,0.001,0.001,0.001,2328723280.44,601.7132645133769,232872.328044,4657.44656088
403_2024,0.001,0.001,0.001,2654684638.93,750.5532593878517,265468.463893,5309.36927786
404_2019,0.001,0.001,0.001,9589210837.07,2807.7255923985235,958921.083707,19178.42167414
404_2020,0.001,0.001,0.001,10452989086.51,2124.6770116603752,1045298.908651,20905.97817302
404_2021,0.001,0.001,0.001,13199061830.01,1509.00655281898,1319906.183001,26398.12366002
404_2022,0.001,0.001,0.001,13095484579.32,1103.5347351769176,1309548.457932,26190.96915864
404_2023,0.001,0.001,0.001,12889012389.22,730.2006426903391,1288901.238922,25778.024778439998
404_2024,0.001,0.001,0.001,11966527971.76,901.1031318966692,1196652.797176,23933.05594352
408_2019,0.001,0.001,0.001,2018557840.82,476.90347048378044,201855.784082,4037.1156816400003
408_2021,0.001,0.001,0.001,3622594323.02,2115.6103737128333,362259.432302,7245.18864604
408_2022,0.001,0.001,0.001,8193913458.11,3914.768714739904,819391.345811,16387.82691622
408_2023,0.001,0.001,0.001,5225721163.41,3346.010218922662,522572.11634099996,10451.442326819999
408_2024,0.001,0.001,0.001,3250800389.88,2056.1227565965482,325080.038988,6501.6007797600005
410_2023,0.001,0.001,0.001,1501401473.96,151.31463333223797,150140.14739600001,3002.8029479200004
410_2024,0.001,0.001,0.001,1503850639.32,213.02003883474939,150385.063932,3007.70127864
413_2019,0.001,0.001,0.001,17528752785.8,9111.012158199292,1752875.27858,35057.5055716
413_2020,0.001,0.001,0.001,7048745959.08,3134.1987984807747,704874.595908,14097.49191816
413_2021,0.001,0.001,0.001,5631943235.41,1134.676697900015,563194.323541,11263.88647082
413_2022,0.001,0.001,0.001,5892598751.42,1303.7693062214198,589259.875142,11785.197502840001
