DMU,投入_资本,投入_劳动,投入_能源,产出_营收,非期望_SO2,非期望_NOx
301201_2024,41333.96,4857,194033908.4,33313.11824,4.991759582,12.76183843
301202_2023,82785.38,21375,602683677.2,91652.14478,25.34702077,52.40364643
301202_2024,88357.53,15796,722872151.2,128901.9258,41.03184264,92.57671609
301205_2022,99867.73,3991,632613820.5,82470.73475,86.91419371,179.4354506
301205_2023,134795.05,4233,384849247.1,60572.45057,42.39669468,85.91917622
301205_2024,128302.04,4837,712708248.5,89105.27327,61.96792431,131.1138311
301206_2021,117155.71,209,987000998.4,167532.0035,116.7765286,192.6200528
301206_2022,106291.44,210,700304292.6,67490.55956,40.51140605,76.634817
301206_2023,10365.03,578,425618819.5,49950.07754,20.87302085,43.71156986
301206_2024,9971.89,829,698733103,71290.42078,31.13954829,62.58295448
301207_2021,9806.45,168,316690982.6,182981.3886,194.92163,388.6042197
301207_2022,58233.59,212,342898834.9,182564.0966,200.2144447,387.1739824
301207_2023,72416.62,242,242105354.6,241042.8457,210.1939501,300.0242718
301207_2024,12952.92,396,252503004.8,112781.2324,110.8677388,204.4177957
301209_2022,12630.8,379,221776039.7,54198.44205,32.53277358,61.54175806
301209_2023,12759.6,421,122555741.1,42838.84261,17.90139473,37.48849158
301209_2024,47009.17,476,145745831.8,53461.72707,23.35200176,46.931871
301210_2023,26238.77,704,774184623.2,110974.4477,30.69073436,63.45149622
301210_2024,24383.26,366,860637029.6,136458.029,43.4370886,98.00347146
301211_2021,24675.35,667,180426158.6,54062.25603,77.444953,123.2576872
301211_2022,28962.62,925,212743775.8,51491.17689,54.2654814,112.0317717
301211_2023,201736.49,935,245002634.9,66302.58744,46.40741013,94.04710624
301211_2024,260140.66,684,179182170.7,44586.43313,31.0074658,65.60664537
301212_2021,336579.9,699,545613639.7,83301.38489,19.11028055,39.01039986
301212_2022,315612.59,569,921893463.8,104113.3696,23.99206249,50.95277205
301212_2023,167682.16,551,508714586.7,66201.57304,8.401989573,23.375942
301212_2024,160974.27,562,581085912.4,63245.53192,9.476942018,24.22857128
301216_2021,201810.65,6496,10295396391,958676.9663,219.9313469,448.9525815
301216_2022,311890.75,10411,20231682551,1938604.315,446.7352853,948.7471604
301216_2023,99520.25,7997,19848061892,1753176.52,222.5048464,619.05104
301216_2024,145843.08,5370,18911901996,1723163.388,258.2051098,660.1223154
301217_2021,220898.36,685,3790944448,408161.6148,419.130445,696.6934667
301217_2022,309406,830,3700680438,387482.0933,373.2421473,752.7726566
301217_2023,36658.66,997,4152532353,378454.4796,184.5583719,392.3434652
301217_2024,40194.68,1156,5136241110,471891.0384,320.2041939,645.2800336
301219_2021,84839.02,950,3090875430,416037.0246,475.641833,807.8602863
301219_2022,8528.65,1094,4921121606,480084.6632,404.559372,823.5895275
301219_2023,7833.93,339,3846713721,554341.784,314.051003,583.5385873
301219_2024,7270.42,634,5277342166,654248.9421,492.6623429,874.2530198
