DMU,标准化GTFP,效率等级,GTFP排名,百分位排名,传统TFP,绿色TFP_简单,绿色TFP_对数,综合GTFP,资本效率,劳动效率,能源效率,总投入,总污染
300204_2019,0.9208020208488533,A级,52,0.27,0.0011468591573651596,0.00013389644733244183,-2.053909636899323,-1.0268878702259954,3.752683546328848,55.44764519697776,0.0011472334928284054,57678434.440000005,7.565269357998966
688321_2024,0.920511688672961,A级,53,0.27,0.0019933168339218406,6.362290617920083e-05,-2.0576385667933965,-1.0287874719436088,0.476179068032841,37.34105447786394,0.0020018033732520078,33007767.19,30.330174825999336
688050_2020,0.9194160356509697,A级,54,0.28,0.00111627172680093,0.00031634091255629564,-2.0722286826638796,-1.0359561708756617,5.673704157688252,15.496521833143266,0.0011165718372864893,24460774.93,2.5286984289997814
688336_2023,0.9193836758827354,A级,55,0.28,0.0010252000281577537,9.53608747126015e-05,-2.0724311526821078,-1.0361678959036975,5.278346861025384,57.550187287170445,0.0010254174592147429,98910873.21,9.750740499000386
920017_2023,0.9187212901267673,A级,56,0.29,0.0008435109018092868,0.00016872734596434975,-2.081172310101978,-1.0405017913780068,5.3461256361518235,40.97592911464013,0.0008436613817858639,85594136.3,3.999254193998507
300204_2021,0.918610914503048,A级,57,0.3,0.0008665753553779334,0.00020013761733247222,-2.082648062594582,-1.0412239624886246,2.433989881068912,43.76714913108284,0.0008669011632511627,67425347.06,3.329897367999516
688163_2021,0.9181147593108638,A级,58,0.3,0.0011717697504253994,0.00036647991015085297,-2.089306949261806,-1.0444702346758277,0.894293689959004,11.844133229284227,0.0011734233462099646,17810122.46,2.197364036000567
688198_2024,0.9176581015645424,A级,59,0.31,0.000847747054258708,0.00023013467912550497,-2.0951462952572886,-1.0474580802890816,1.1965673650867192,28.483491583426314,0.0008483733618751505,59201517.620000005,2.6836996629990786
603087_2021,0.916901571746781,A级,60,0.31,0.0007655819270910166,3.546796862792461e-05,-2.1048513600134564,-1.0524079460224143,7.2410447345593765,204.99681203177045,0.0007656657389358832,471803696.01000005,20.58516416600157
300204_2020,0.9167531536135921,A级,61,0.32,0.001014670899788881,0.0002054871468106956,-2.1069635351286964,-1.0533790239909429,2.1177439360630697,35.46389185153998,0.001015186350108891,41906401.71,3.9378800150009097
920344_2019,0.9166412432768895,A级,62,0.32,0.0011308012388870025,0.0002703799922217501,-2.108492854136845,-1.0541112370723116,2.4653683020920605,15.791733365492862,0.001131401200044408,24606476.57,3.18226653399766
