Stkcd,ShortName,Accper,Typrep,C001014000,Year
000408,藏格矿业,2021-12-31,A,680118566.43,2021
000408,藏格矿业,2022-12-31,A,942454314.56,2022
000408,藏格矿业,2023-12-31,A,788498655.68,2023
000408,藏格矿业,2024-12-31,A,698611395.54,2024
000410,沈阳机床,2023-12-31,A,1061314938.18,2023
000410,沈阳机床,2024-12-31,A,926782625.38,2024
000413,东旭光电,2019-12-31,A,21601767087.82,2019
000413,东旭光电,2020-12-31,A,7350609347.65,2020
000413,东旭光电,2021-12-31,A,6914553605.89,2021
000413,东旭光电,2022-12-31,A,5215586320.41,2022
000413,东旭光电,2023-12-31,A,2719043458.09,2023
000420,吉林化纤,2019-12-31,A,1025740048.65,2019
000420,吉林化纤,2020-12-31,A,1008315962.85,2020
000420,吉林化纤,2021-12-31,A,1615910210.18,2021
000420,吉林化纤,2022-12-31,A,1328420900.19,2022
000420,吉林化纤,2023-12-31,A,1818416096.96,2023
000420,吉林化纤,2024-12-31,A,1575939937.89,2024
000422,湖北宜化,2021-12-31,A,9276412924.12,2021
000422,湖北宜化,2022-12-31,A,5676866810.67,2022
000422,湖北宜化,2023-12-31,A,7727155380.89,2023
000422,湖北宜化,2024-12-31,A,10905951151.97,2024
000423,东阿阿胶,2019-12-31,A,1891274186.71,2019
000423,东阿阿胶,2020-12-31,A,1034818508.23,2020
000423,东阿阿胶,2021-12-31,A,563800963.27,2021
000423,东阿阿胶,2022-12-31,A,726461564.83,2022
000423,东阿阿胶,2023-12-31,A,809641297.1,2023
000423,东阿阿胶,2024-12-31,A,877064694.89,2024
000425,徐工机械,2019-12-31,A,40973032561.2,2019
000425,徐工机械,2020-12-31,A,55534482546.01,2020
000425,徐工机械,2021-12-31,A,54790828605.0,2021
000425,徐工机械,2022-12-31,A,89402687191.42,2022
000425,徐工机械,2023-12-31,A,99212792721.89,2023
000425,徐工机械,2024-12-31,A,81150011931.8,2024
000488,晨鸣纸业,2019-12-31,A,23866695680.8,2019
000488,晨鸣纸业,2020-12-31,A,24341006232.03,2020
000488,晨鸣纸业,2021-12-31,A,25422330671.57,2021
000488,晨鸣纸业,2022-12-31,A,27914460565.12,2022
000488,晨鸣纸业,2023-12-31,A,20996101741.25,2023
000488,晨鸣纸业,2024-12-31,A,18151509011.53,2024
000505,京粮控股,2019-12-31,A,7446652722.52,2019
000505,京粮控股,2020-12-31,A,8473107195.86,2020
000505,京粮控股,2021-12-31,A,11555020531.14,2021
000505,京粮控股,2022-12-31,A,12753441435.11,2022
000505,京粮控股,2023-12-31,A,11946751177.61,2023
000505,京粮控股,2024-12-31,A,12272299857.43,2024
000510,新金路,2019-12-31,A,2137073177.74,2019
000510,新金路,2020-12-31,A,1927167777.32,2020
000510,新金路,2021-12-31,A,839754709.96,2021
000510,新金路,2022-12-31,A,1462657721.38,2022
000510,新金路,2023-12-31,A,1906058138.84,2023
000510,新金路,2024-12-31,A,1250776207.01,2024
000513,丽珠集团,2019-12-31,A,2559855010.72,2019
000513,丽珠集团,2020-12-31,A,2741476711.15,2020
000513,丽珠集团,2021-12-31,A,3133904122.93,2021
000513,丽珠集团,2022-12-31,A,3423069738.04,2022
000513,丽珠集团,2023-12-31,A,4118092076.04,2023
000513,丽珠集团,2024-12-31,A,3414733096.27,2024
000518,四环生物,2019-12-31,A,92969076.58,2019
000518,四环生物,2020-12-31,A,104105593.11,2020
000518,四环生物,2021-12-31,A,129035591.67,2021
000518,四环生物,2022-12-31,A,83410811.83,2022
000518,四环生物,2023-12-31,A,67037429.65,2023
000518,四环生物,2024-12-31,A,50717561.46,2024
000519,中兵红箭,2019-12-31,A,2695602432.17,2019
000519,中兵红箭,2020-12-31,A,2813989380.52,2020
000519,中兵红箭,2021-12-31,A,3515136516.74,2021
000519,中兵红箭,2022-12-31,A,3135960690.51,2022
000519,中兵红箭,2023-12-31,A,2748455186.4,2023
000519,中兵红箭,2024-12-31,A,2789467807.41,2024
000521,长虹美菱,2019-12-31,A,13458134618.83,2019
000521,长虹美菱,2020-12-31,A,12027673706.26,2020
000521,长虹美菱,2021-12-31,A,16131183801.59,2021
000521,长虹美菱,2022-12-31,A,17573333598.31,2022
000521,长虹美菱,2023-12-31,A,20643740044.38,2023
000521,长虹美菱,2024-12-31,A,25054928387.36,2024
000523,广州浪奇,2019-12-31,A,9585559626.43,2019
000523,广州浪奇,2020-12-31,A,3348178693.15,2020
000523,广州浪奇,2022-12-31,A,2834119028.49,2022
000523,红棉股份,2023-12-31,A,1941587539.84,2023
000523,红棉股份,2024-12-31,A,1930105062.75,2024
000525,红太阳,2019-12-31,A,2040745526.85,2019
000525,红太阳,2020-12-31,A,1766645101.79,2020
000528,柳工,2019-12-31,A,20308644521.26,2019
